Protein ID,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
A5PLL7,15,a,sp|A5PLL7|TM189_HUMAN,TM189_HUMAN,TMEM189,270,13.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transmembrane protein 189,1.0,0.999,3,8,8,8,
A5YKK6,16,a,sp|A5YKK6|CNOT1_HUMAN,CNOT1_HUMAN,CNOT1,2376,29.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,CCR4-NOT transcription complex subunit 1,1.0,0.999,57,453,453,453,
A6ND36,17,a,sp|A6ND36|FA83G_HUMAN,FA83G_HUMAN,FAM83G,823,15.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein FAM83G,1.0,0.999,7,17,17,17,
A6NDG6,18,a,sp|A6NDG6|PGP_HUMAN,PGP_HUMAN,PGP,321,34.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glycerol-3-phosphate phosphatase,1.0,0.999,9,182,182,182,
A6NDU8,19,a,sp|A6NDU8|CE051_HUMAN,CE051_HUMAN,C5orf51,294,15.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,UPF0600 protein C5orf51,1.0,0.999,3,52,52,52,
A6NFQ2,20,a,sp|A6NFQ2|TCAF2_HUMAN,TCAF2_HUMAN,TCAF2,919,8.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,TRPM8 channel-associated factor 2,1.0,0.999,5,11,11,11,
A6NHR9,21,a,sp|A6NHR9|SMHD1_HUMAN,SMHD1_HUMAN,SMCHD1,2005,13.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1.0,0.999,22,115,115,115,
A7E2V4,22,a,sp|A7E2V4|ZSWM8_HUMAN,ZSWM8_HUMAN,ZSWIM8,1837,8.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc finger SWIM domain-containing protein 8,1.0,0.999,10,31,31,31,
A8MWD9,23,a,sp|A8MWD9|RUXGL_HUMAN,RUXGL_HUMAN,SNRPGP15,76,35.5,Homo sapiens OX=9606,5:Protein uncertain,Putative small nuclear ribonucleoprotein G-like protein 15,1.0,0.999,4,80,80,80,sp|P62308|RUXG_HUMAN
A8MXV4,24,a,sp|A8MXV4|NUD19_HUMAN,NUD19_HUMAN,NUDT19,375,24.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleoside diphosphate-linked moiety X motif 19,1.0,0.999,5,10,10,10,
B7ZAP0,25,a,sp|B7ZAP0|RBG10_HUMAN,RBG10_HUMAN,RABGAP1L,253,24.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Rab GTPase-activating protein 1-like, isoform 10",1.0,0.9981,6,41,8,8,
E9PRG8,26,a,sp|E9PRG8|CK098_HUMAN,CK098_HUMAN,C11orf98,123,39.0,Homo sapiens OX=9606,4:Protein predicted,Uncharacterized protein C11orf98,1.0,0.999,4,38,38,38,
O00116,27,a,sp|O00116|ADAS_HUMAN,ADAS_HUMAN,AGPS,658,60.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",1.0,0.999,32,538,538,538,
O00142,28,a,sp|O00142|KITM_HUMAN,KITM_HUMAN,TK2,265,15.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Thymidine kinase 2, mitochondrial",1.0,0.999,3,30,30,30,
O00151,29,a,sp|O00151|PDLI1_HUMAN,PDLI1_HUMAN,PDLIM1,329,73.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,PDZ and LIM domain protein 1,1.0,0.999,19,362,362,362,
O00154,30,a,sp|O00154|BACH_HUMAN,BACH_HUMAN,ACOT7,380,47.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytosolic acyl coenzyme A thioester hydrolase,1.0,0.999,17,321,313,321,
O00161,31,a,sp|O00161|SNP23_HUMAN,SNP23_HUMAN,SNAP23,211,54.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Synaptosomal-associated protein 23,1.0,0.999,10,107,107,107,
O00165,32,a,sp|O00165|HAX1_HUMAN,HAX1_HUMAN,HAX1,279,43.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,HCLS1-associated protein X-1,1.0,0.999,8,60,60,60,
O00170,33,a,sp|O00170|AIP_HUMAN,AIP_HUMAN,AIP,330,47.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,AH receptor-interacting protein,1.0,0.999,12,248,248,248,
O00192,34,a,sp|O00192|ARVC_HUMAN,ARVC_HUMAN,ARVCF,962,11.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Armadillo repeat protein deleted in velo-cardio-facial syndrome,1.0,0.999,6,4,4,4,
O00193,35,a,sp|O00193|SMAP_HUMAN,SMAP_HUMAN,SMAP,183,29.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small acidic protein,1.0,0.999,5,122,122,122,
O00217,36,a,sp|O00217|NDUS8_HUMAN,NDUS8_HUMAN,NDUFS8,210,38.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1.0,0.999,7,132,132,132,
O00220,37,a,sp|O00220|TR10A_HUMAN,TR10A_HUMAN,TNFRSF10A,468,12.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tumor necrosis factor receptor superfamily member 10A,1.0,0.999,4,18,18,18,
O00231,38,a,sp|O00231|PSD11_HUMAN,PSD11_HUMAN,PSMD11,422,68.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 11,1.0,0.999,29,572,572,572,
O00233,39,a,sp|O00233|PSMD9_HUMAN,PSMD9_HUMAN,PSMD9,223,36.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 9,1.0,0.999,8,92,92,92,
O00255,40,a,sp|O00255|MEN1_HUMAN,MEN1_HUMAN,MEN1,615,11.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Menin,1.0,0.999,4,16,16,16,
O00264,41,a,sp|O00264|PGRC1_HUMAN,PGRC1_HUMAN,PGRMC1,195,48.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Membrane-associated progesterone receptor component 1,1.0,0.999,9,108,108,108,
O00267,42,a,sp|O00267|SPT5H_HUMAN,SPT5H_HUMAN,SUPT5H,1087,43.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transcription elongation factor SPT5,1.0,0.999,37,385,374,385,
O00273,43,a,sp|O00273|DFFA_HUMAN,DFFA_HUMAN,DFFA,331,44.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,DNA fragmentation factor subunit alpha,1.0,0.999,10,159,159,159,
O00299,44,a,sp|O00299|CLIC1_HUMAN,CLIC1_HUMAN,CLIC1,241,68.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Chloride intracellular channel protein 1,1.0,0.999,15,318,306,306,
O00303,45,a,sp|O00303|EIF3F_HUMAN,EIF3F_HUMAN,EIF3F,357,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit F,1.0,0.999,12,265,265,265,
O00308,46,a,sp|O00308|WWP2_HUMAN,WWP2_HUMAN,WWP2,870,9.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,NEDD4-like E3 ubiquitin-protein ligase WWP2,1.0,0.999,5,14,14,14,
O00330,47,a,sp|O00330|ODPX_HUMAN,ODPX_HUMAN,PDHX,501,32.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Pyruvate dehydrogenase protein X component, mitochondrial",1.0,0.999,13,110,110,110,
O00339,48,a,sp|O00339|MATN2_HUMAN,MATN2_HUMAN,MATN2,956,6.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Matrilin-2,1.0,0.999,6,23,23,23,
O00399,49,a,sp|O00399|DCTN6_HUMAN,DCTN6_HUMAN,DCTN6,190,36.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dynactin subunit 6,1.0,0.999,6,61,61,61,
O00400,50,a,sp|O00400|ACATN_HUMAN,ACATN_HUMAN,SLC33A1,549,12.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acetyl-coenzyme A transporter 1,1.0,0.999,6,44,44,44,
O00401,51,a,sp|O00401|WASL_HUMAN,WASL_HUMAN,WASL,505,34.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Neural Wiskott-Aldrich syndrome protein,1.0,0.999,14,143,143,143,
O00411,52,a,sp|O00411|RPOM_HUMAN,RPOM_HUMAN,POLRMT,1230,18.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,"DNA-directed RNA polymerase, mitochondrial",1.0,0.999,15,39,39,39,
O00418,53,a,sp|O00418|EF2K_HUMAN,EF2K_HUMAN,EEF2K,725,19.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Eukaryotic elongation factor 2 kinase,1.0,0.999,13,61,61,61,
O00422,54,a,sp|O00422|SAP18_HUMAN,SAP18_HUMAN,SAP18,153,59.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Histone deacetylase complex subunit SAP18,1.0,0.999,12,189,188,189,
O00425,55,a,sp|O00425|IF2B3_HUMAN,IF2B3_HUMAN,IGF2BP3,579,47.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Insulin-like growth factor 2 mRNA-binding protein 3,1.0,0.999,29,511,393,511,
O00429,56,a,sp|O00429|DNM1L_HUMAN,DNM1L_HUMAN,DNM1L,736,72.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dynamin-1-like protein,1.0,0.999,53,949,949,949,
O00442,57,a,sp|O00442|RTCA_HUMAN,RTCA_HUMAN,RTCA,366,46.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,RNA 3'-terminal phosphate cyclase,1.0,0.999,15,205,205,205,
O00443,58,a,sp|O00443|P3C2A_HUMAN,P3C2A_HUMAN,PIK3C2A,1686,5.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,1.0,0.999,8,16,16,16,
O00458,59,a,sp|O00458|IFRD1_HUMAN,IFRD1_HUMAN,IFRD1,451,17.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Interferon-related developmental regulator 1,1.0,0.999,5,41,41,41,
O00459,60,a,sp|O00459|P85B_HUMAN,P85B_HUMAN,PIK3R2,728,22.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phosphatidylinositol 3-kinase regulatory subunit beta,1.0,0.999,9,63,63,63,
O00461,61,a,sp|O00461|GOLI4_HUMAN,GOLI4_HUMAN,GOLIM4,696,34.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Golgi integral membrane protein 4,1.0,0.999,21,168,168,168,
O00462,62,a,sp|O00462|MANBA_HUMAN,MANBA_HUMAN,MANBA,879,8.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Beta-mannosidase,1.0,0.999,5,20,8,8,
O00468,63,a,sp|O00468|AGRIN_HUMAN,AGRIN_HUMAN,AGRN,2068,8.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Agrin,1.0,0.999,13,89,89,89,
O00479,64,a,sp|O00479|HMGN4_HUMAN,HMGN4_HUMAN,HMGN4,90,34.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,High mobility group nucleosome-binding domain-containing protein 4,1.0,0.999,4,46,42,42,
O00483,65,a,sp|O00483|NDUA4_HUMAN,NDUA4_HUMAN,NDUFA4,81,46.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytochrome c oxidase subunit NDUFA4,1.0,0.999,4,37,37,37,
O00487,66,a,sp|O00487|PSDE_HUMAN,PSDE_HUMAN,PSMD14,310,48.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 14,1.0,0.999,11,210,210,210,
O00534,67,a,sp|O00534|VMA5A_HUMAN,VMA5A_HUMAN,VWA5A,786,17.6,Homo sapiens OX=9606,2:Experimental evidence at transcript level,von Willebrand factor A domain-containing protein 5A,1.0,0.999,8,28,28,28,
O00541,68,a,sp|O00541|PESC_HUMAN,PESC_HUMAN,PES1,588,36.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pescadillo homolog,1.0,0.999,21,391,391,391,
O00566,69,a,sp|O00566|MPP10_HUMAN,MPP10_HUMAN,MPHOSPH10,681,38.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,U3 small nucleolar ribonucleoprotein protein MPP10,1.0,0.999,19,187,187,187,
O00567,70,a,sp|O00567|NOP56_HUMAN,NOP56_HUMAN,NOP56,594,60.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleolar protein 56,1.0,0.999,33,533,533,533,
O00592,71,a,sp|O00592|PODXL_HUMAN,PODXL_HUMAN,PODXL,558,19.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Podocalyxin,1.0,0.999,7,33,33,33,
O00622,72,a,sp|O00622|CCN1_HUMAN,CCN1_HUMAN,CCN1,381,12.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,CCN family member 1,1.0,0.999,6,67,67,67,
O00625,73,a,sp|O00625|PIR_HUMAN,PIR_HUMAN,PIR,290,56.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pirin,1.0,0.999,17,227,227,227,
O00743,74,a,sp|O00743|PPP6_HUMAN,PPP6_HUMAN,PPP6C,305,43.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase 6 catalytic subunit,1.0,0.999,12,197,197,197,
O00746,75,a,sp|O00746|NDKM_HUMAN,NDKM_HUMAN,NME4,187,81.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Nucleoside diphosphate kinase, mitochondrial",1.0,0.999,10,96,96,96,
O00754,76,a,sp|O00754|MA2B1_HUMAN,MA2B1_HUMAN,MAN2B1,1011,24.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Lysosomal alpha-mannosidase,1.0,0.999,18,111,111,111,
O00764,77,a,sp|O00764|PDXK_HUMAN,PDXK_HUMAN,PDXK,312,50.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pyridoxal kinase,1.0,0.999,13,222,221,222,
O00767,78,a,sp|O00767|ACOD_HUMAN,ACOD_HUMAN,SCD,359,23.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acyl-CoA desaturase,1.0,0.999,5,77,77,77,
O14497,79,a,sp|O14497|ARI1A_HUMAN,ARI1A_HUMAN,ARID1A,2285,5.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,AT-rich interactive domain-containing protein 1A,1.0,0.999,9,22,20,22,
O14530,80,a,sp|O14530|TXND9_HUMAN,TXND9_HUMAN,TXNDC9,226,43.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Thioredoxin domain-containing protein 9,1.0,0.999,8,95,95,95,
O14545,81,a,sp|O14545|TRAD1_HUMAN,TRAD1_HUMAN,TRAFD1,582,8.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,TRAF-type zinc finger domain-containing protein 1,1.0,0.999,5,19,19,19,
O14548,82,a,sp|O14548|COX7R_HUMAN,COX7R_HUMAN,COX7A2L,114,61.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",1.0,0.999,5,24,24,24,
O14558,83,a,sp|O14558|HSPB6_HUMAN,HSPB6_HUMAN,HSPB6,160,36.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Heat shock protein beta-6,1.0,0.999,4,24,24,24,
O14562,84,a,sp|O14562|UBFD1_HUMAN,UBFD1_HUMAN,UBFD1,309,29.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin domain-containing protein UBFD1,1.0,0.999,9,96,96,96,
O14579,85,a,sp|O14579|COPE_HUMAN,COPE_HUMAN,COPE,308,58.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Coatomer subunit epsilon,1.0,0.999,13,217,217,217,
O14617,86,a,sp|O14617|AP3D1_HUMAN,AP3D1_HUMAN,AP3D1,1153,41.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-3 complex subunit delta-1,1.0,0.999,35,528,528,528,
O14618,87,a,sp|O14618|CCS_HUMAN,CCS_HUMAN,CCS,274,44.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Copper chaperone for superoxide dismutase,1.0,0.999,9,106,106,106,
O14639,88,a,sp|O14639|ABLM1_HUMAN,ABLM1_HUMAN,ABLIM1,778,27.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Actin-binding LIM protein 1,1.0,0.999,17,76,75,76,
O14641,89,a,sp|O14641|DVL2_HUMAN,DVL2_HUMAN,DVL2,736,34.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Segment polarity protein dishevelled homolog DVL-2,1.0,0.999,18,147,115,147,
O14646,90,a,sp|O14646|CHD1_HUMAN,CHD1_HUMAN,CHD1,1710,7.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Chromodomain-helicase-DNA-binding protein 1,1.0,0.999,9,60,41,60,
O14647,91,a,sp|O14647|CHD2_HUMAN,CHD2_HUMAN,CHD2,1828,7.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Chromodomain-helicase-DNA-binding protein 2,1.0,0.999,11,48,29,29,
O14653,92,a,sp|O14653|GOSR2_HUMAN,GOSR2_HUMAN,GOSR2,212,26.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Golgi SNAP receptor complex member 2,1.0,0.999,4,10,10,10,
O14657,93,a,sp|O14657|TOR1B_HUMAN,TOR1B_HUMAN,TOR1B,336,20.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Torsin-1B,1.0,0.999,6,20,20,20,
O14662,94,a,sp|O14662|STX16_HUMAN,STX16_HUMAN,STX16,325,17.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Syntaxin-16,1.0,0.999,4,11,11,11,
O14684,95,a,sp|O14684|PTGES_HUMAN,PTGES_HUMAN,PTGES,152,11.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Prostaglandin E synthase,1.0,0.999,3,27,27,27,
O14730,96,a,sp|O14730|RIOK3_HUMAN,RIOK3_HUMAN,RIOK3,519,15.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein kinase RIO3,1.0,0.999,5,17,17,17,
O14733,97,a,sp|O14733|MP2K7_HUMAN,MP2K7_HUMAN,MAP2K7,419,13.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dual specificity mitogen-activated protein kinase kinase 7,1.0,0.999,4,12,12,12,
O14734,98,a,sp|O14734|ACOT8_HUMAN,ACOT8_HUMAN,ACOT8,319,31.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acyl-coenzyme A thioesterase 8,1.0,0.999,9,96,96,96,
O14735,99,a,sp|O14735|CDIPT_HUMAN,CDIPT_HUMAN,CDIPT,213,25.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1.0,0.999,5,57,57,57,
O14744,100,a,sp|O14744|ANM5_HUMAN,ANM5_HUMAN,PRMT5,637,37.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein arginine N-methyltransferase 5,1.0,0.999,20,342,342,342,
O14745,101,a,sp|O14745|NHRF1_HUMAN,NHRF1_HUMAN,SLC9A3R1,358,57.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1.0,0.999,20,244,244,244,
O14773,102,a,sp|O14773|TPP1_HUMAN,TPP1_HUMAN,TPP1,563,18.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tripeptidyl-peptidase 1,1.0,0.999,7,107,107,107,
O14786,103,a,sp|O14786|NRP1_HUMAN,NRP1_HUMAN,NRP1,923,19.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Neuropilin-1,1.0,0.999,11,49,49,49,
O14787,104,a,sp|O14787|TNPO2_HUMAN,TNPO2_HUMAN,TNPO2,897,27.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transportin-2,1.0,0.999,19,298,137,137,
O14802,105,a,sp|O14802|RPC1_HUMAN,RPC1_HUMAN,POLR3A,1390,5.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,DNA-directed RNA polymerase III subunit RPC1,1.0,0.999,5,7,6,6,
O14828,106,a,sp|O14828|SCAM3_HUMAN,SCAM3_HUMAN,SCAMP3,347,36.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Secretory carrier-associated membrane protein 3,1.0,0.999,10,220,220,220,
O14841,107,a,sp|O14841|OPLA_HUMAN,OPLA_HUMAN,OPLAH,1288,17.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,5-oxoprolinase,1.0,0.999,15,60,60,60,
O14879,108,a,sp|O14879|IFIT3_HUMAN,IFIT3_HUMAN,IFIT3,490,42.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Interferon-induced protein with tetratricopeptide repeats 3,1.0,0.999,13,98,98,98,
O14880,109,a,sp|O14880|MGST3_HUMAN,MGST3_HUMAN,MGST3,152,23.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Microsomal glutathione S-transferase 3,1.0,0.999,4,163,163,163,
O14896,110,a,sp|O14896|IRF6_HUMAN,IRF6_HUMAN,IRF6,467,19.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Interferon regulatory factor 6,1.0,0.999,7,28,28,28,
O14907,111,a,sp|O14907|TX1B3_HUMAN,TX1B3_HUMAN,TAX1BP3,124,70.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tax1-binding protein 3,1.0,0.999,5,99,99,99,
O14929,112,a,sp|O14929|HAT1_HUMAN,HAT1_HUMAN,HAT1,419,29.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Histone acetyltransferase type B catalytic subunit,1.0,0.999,9,145,145,145,
O14933,113,a,sp|O14933|UB2L6_HUMAN,UB2L6_HUMAN,UBE2L6,153,41.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin/ISG15-conjugating enzyme E2 L6,1.0,0.999,7,43,43,43,
O14936,114,a,sp|O14936|CSKP_HUMAN,CSKP_HUMAN,CASK,926,24.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Peripheral plasma membrane protein CASK,1.0,0.999,21,128,128,128,
O14949,115,a,sp|O14949|QCR8_HUMAN,QCR8_HUMAN,UQCRQ,82,39.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cytochrome b-c1 complex subunit 8,1.0,0.999,3,10,10,10,
O14950,116,a,sp|O14950|ML12B_HUMAN,ML12B_HUMAN,MYL12B,172,66.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Myosin regulatory light chain 12B,1.0,0.999,13,287,81,287,sp|P19105|ML12A_HUMAN
O14972,117,a,sp|O14972|VP26C_HUMAN,VP26C_HUMAN,VPS26C,297,14.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Vacuolar protein sorting-associated protein 26C,1.0,0.999,3,41,41,41,
O14976,118,a,sp|O14976|GAK_HUMAN,GAK_HUMAN,GAK,1311,20.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cyclin-G-associated kinase,1.0,0.999,19,151,151,151,
O14979,119,a,sp|O14979|HNRDL_HUMAN,HNRDL_HUMAN,HNRNPDL,420,34.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Heterogeneous nuclear ribonucleoprotein D-like,1.0,0.999,19,463,406,418,
O14981,120,a,sp|O14981|BTAF1_HUMAN,BTAF1_HUMAN,BTAF1,1849,14.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,TATA-binding protein-associated factor 172,1.0,0.999,17,79,79,79,
O14983,121,a,sp|O14983|AT2A1_HUMAN,AT2A1_HUMAN,ATP2A1,1001,15.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,1.0,0.999,14,237,4,4,
O15027,123,a,sp|O15027|SC16A_HUMAN,SC16A_HUMAN,SEC16A,2357,23.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein transport protein Sec16A,1.0,0.999,34,259,259,259,
O15037,124,a,sp|O15037|KHNYN_HUMAN,KHNYN_HUMAN,KHNYN,678,6.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein KHNYN,1.0,0.999,4,193,193,193,
O15042,125,a,sp|O15042|SR140_HUMAN,SR140_HUMAN,U2SURP,1029,40.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,U2 snRNP-associated SURP motif-containing protein,1.0,0.999,40,470,470,470,
O15067,126,a,sp|O15067|PUR4_HUMAN,PUR4_HUMAN,PFAS,1338,45.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phosphoribosylformylglycinamidine synthase,1.0,0.999,43,732,732,732,
