Protein ID,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,AveExpr,Count,%Prevalence,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
Q96ED9,,,,,,-3.1532988521919023,-3.1532988521919023,1,16.67,2464,a,sp|Q96ED9|HOOK2_HUMAN,HOOK2_HUMAN,HOOK2,719,11.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein Hook homolog 2,1.0,0.999,5,37,37,37,
Q96FV2,,,,-2.4936327551679653,,,-2.4936327551679653,1,16.67,2484,a,sp|Q96FV2|SCRN2_HUMAN,SCRN2_HUMAN,SCRN2,425,20.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Secernin-2,1.0,0.999,6,34,34,34,
Q9BPX6,-2.7280660652782167,,,,-2.170321905061492,,-2.4491939851698543,2,33.33,2650,a,sp|Q9BPX6|MICU1_HUMAN,MICU1_HUMAN,MICU1,476,28.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Calcium uptake protein 1, mitochondrial",1.0,0.999,14,115,115,115,
Q9BY76,,-1.8878472152107264,-1.6150371434843365,-1.623383374867263,,,-1.708755911187442,3,50.0,2768,a,sp|Q9BY76|ANGL4_HUMAN,ANGL4_HUMAN,ANGPTL4,406,22.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Angiopoietin-related protein 4,1.0,0.999,7,28,28,28,
Q9H0J9,,,,,-1.1976843997808508,,-1.1976843997808508,1,16.67,2841,a,sp|Q9H0J9|PAR12_HUMAN,PAR12_HUMAN,PARP12,701,8.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein mono-ADP-ribosyltransferase PARP12,1.0,0.9988,6,34,13,13,
Q9Y3I1,,-1.2889229179530233,,,,,-1.2889229179530233,1,16.67,3455,a,sp|Q9Y3I1|FBX7_HUMAN,FBX7_HUMAN,FBXO7,522,18.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,F-box only protein 7,1.0,0.999,6,48,48,48,
Q9Y653,-2.7038658491218435,,,,,,-2.7038658491218435,1,16.67,3520,a,sp|Q9Y653|AGRG1_HUMAN,AGRG1_HUMAN,ADGRG1,693,13.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Adhesion G-protein coupled receptor G1,1.0,0.999,6,33,33,33,
O75376,-1.9338067796817775,,,,,,-1.9338067796817775,1,16.67,3627,a,sp|O75376|NCOR1_HUMAN,NCOR1_HUMAN,NCOR1,2440,7.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear receptor corepressor 1,1.0,0.999,16,41,39,39,
P07996,,,,,-1.8937266645786117,,-1.8937266645786117,1,16.67,3687,a,sp|P07996|TSP1_HUMAN,TSP1_HUMAN,THBS1,1170,25.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Thrombospondin-1,1.0,0.999,23,166,155,166,
Q9ULH7,,,-1.7529503370386514,,,,-1.7529503370386514,1,16.67,3697,b,sp|Q9ULH7|MRTFB_HUMAN,MRTFB_HUMAN,MRTFB,1088,13.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Myocardin-related transcription factor B,1.0,0.999,11,48,28,43,
P25098,,,,,,-2.8678744273587036,-2.8678744273587036,1,16.67,3775,a,sp|P25098|ARBK1_HUMAN,ARBK1_HUMAN,GRK2,689,22.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Beta-adrenergic receptor kinase 1,1.0,0.999,12,100,100,100,
P42356,,,,,-4.883103478369652,,-4.883103478369652,1,16.67,3841,a,sp|P42356|PI4KA_HUMAN,PI4KA_HUMAN,PI4KA,2102,8.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Phosphatidylinositol 4-kinase alpha,1.0,0.999,13,58,58,58,
Q70J99,,,,,-2.827844496833393,,-2.827844496833393,1,16.67,3897,c,sp|Q70J99|UN13D_HUMAN,UN13D_HUMAN,UNC13D,1090,20.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein unc-13 homolog D,1.0,0.999,16,127,117,117,
P54760,,,,-3.355442909086122,,,-3.355442909086122,1,16.67,3900,a,sp|P54760|EPHB4_HUMAN,EPHB4_HUMAN,EPHB4,987,24.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ephrin type-B receptor 4,1.0,0.999,19,123,79,123,
P35240,,,,,3.171324079236072,,3.171324079236072,1,16.67,4054,w,sp|P35240|MERL_HUMAN,MERL_HUMAN,NF2,595,37.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Merlin,1.0,0.999,21,141,117,117,
Q9Y2X7,,-1.3204745990700424,,,,,-1.3204745990700424,1,16.67,4388,a,sp|Q9Y2X7|GIT1_HUMAN,GIT1_HUMAN,GIT1,761,28.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,ARF GTPase-activating protein GIT1,1.0,0.999,15,53,40,53,
Q15527,-3.2520232316004574,,,-2.0341092177512152,,,-2.6430662246758363,2,33.33,4495,a,sp|Q15527|SURF2_HUMAN,SURF2_HUMAN,SURF2,256,12.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Surfeit locus protein 2,0.9999,0.999,2,35,35,35,
